t,x_plan,y_plan,psi_plan,u_plan,v_plan,r_plan,tau_u_plan,tau_r_plan,T1_plan,T2_plan,x_real,y_real,psi_real,u_real,v_real,r_real,tau_u_applied,tau_r_applied,T1_applied,T2_applied
1.600000,0.183756,-0.001801,-0.031388,0.143033,0.001291,-0.013778,6.394477,-0.055452,1.550816,1.646423,0.247832,-0.003644,-0.043410,0.215167,0.002708,-0.023728,6.394477,-0.055452,1.550816,1.646423
1.633333,0.188550,-0.001909,-0.031842,0.144714,0.001290,-0.013474,6.474563,-0.053366,1.572636,1.664646,0.255048,-0.003869,-0.044195,0.217971,0.002736,-0.023412,6.474563,-0.053366,1.572636,1.664646
1.666667,0.193401,-0.002022,-0.032286,0.146422,0.001288,-0.013173,6.555430,-0.051339,1.594599,1.683115,0.262358,-0.004104,-0.044970,0.220798,0.002763,-0.023094,6.555430,-0.051339,1.594599,1.683115
1.700000,0.198310,-0.002139,-0.032720,0.148157,0.001286,-0.012874,6.637066,-0.049369,1.616707,1.701826,0.269762,-0.004347,-0.045735,0.223646,0.002789,-0.022773,6.637066,-0.049369,1.616707,1.701826
1.733333,0.203276,-0.002260,-0.033144,0.149917,0.001283,-0.012578,6.719461,-0.047453,1.638958,1.720773,0.277262,-0.004600,-0.046489,0.226517,0.002813,-0.022452,6.719461,-0.047453,1.638958,1.720773
1.766667,0.208302,-0.002384,-0.033559,0.151704,0.001280,-0.012286,6.802605,-0.045589,1.661351,1.739952,0.284857,-0.004862,-0.047232,0.229410,0.002836,-0.022129,6.802605,-0.045589,1.661351,1.739952
1.800000,0.213387,-0.002514,-0.033963,0.153516,0.001276,-0.011996,6.886487,-0.043774,1.683885,1.759358,0.292548,-0.005133,-0.047964,0.232326,0.002858,-0.021805,6.886487,-0.043774,1.683885,1.759358
1.833333,0.218533,-0.002647,-0.034358,0.155353,0.001271,-0.011709,6.971096,-0.042008,1.706560,1.778988,0.300337,-0.005414,-0.048685,0.235264,0.002879,-0.021480,6.971096,-0.042008,1.706560,1.778988
1.866667,0.223741,-0.002785,-0.034744,0.157215,0.001266,-0.011426,7.056424,-0.040288,1.729375,1.798837,0.308224,-0.005705,-0.049396,0.238224,0.002898,-0.021155,7.056424,-0.040288,1.729375,1.798837
1.900000,0.229011,-0.002927,-0.035120,0.159102,0.001261,-0.011147,7.142458,-0.038612,1.752329,1.818900,0.316210,-0.006005,-0.050095,0.241206,0.002915,-0.020830,7.142458,-0.038612,1.752329,1.818900
1.933333,0.234345,-0.003073,-0.035487,0.161013,0.001255,-0.010870,7.229189,-0.036978,1.775420,1.839175,0.324295,-0.006316,-0.050784,0.244211,0.002932,-0.020505,7.229189,-0.036978,1.775420,1.839175
1.966667,0.239742,-0.003224,-0.035845,0.162949,0.001248,-0.010598,7.316607,-0.035385,1.798648,1.859656,0.332480,-0.006636,-0.051462,0.247237,0.002947,-0.020180,7.316607,-0.035385,1.798648,1.859656
2.000000,0.245204,-0.003379,-0.036194,0.164908,0.001242,-0.010329,7.404701,-0.033830,1.822011,1.880339,0.340767,-0.006967,-0.052130,0.250286,0.002961,-0.019856,7.404701,-0.033830,1.822011,1.880339
2.033333,0.250732,-0.003539,-0.036533,0.166890,0.001234,-0.010063,7.493462,-0.032314,1.845509,1.901222,0.349155,-0.007309,-0.052786,0.253356,0.002974,-0.019532,7.493462,-0.032314,1.845509,1.901222
2.066667,0.256326,-0.003703,-0.036864,0.168896,0.001227,-0.009801,7.582878,-0.030833,1.869140,1.922299,0.357645,-0.007661,-0.053432,0.256449,0.002986,-0.019209,7.582878,-0.030833,1.869140,1.922299
2.100000,0.261987,-0.003872,-0.037187,0.170925,0.001219,-0.009543,7.672941,-0.029386,1.892902,1.943568,0.366238,-0.008023,-0.054067,0.259563,0.002996,-0.018888,7.672941,-0.029386,1.892902,1.943568
2.133333,0.267716,-0.004046,-0.037501,0.172976,0.001210,-0.009289,7.763639,-0.027973,1.916795,1.965024,0.374935,-0.008396,-0.054691,0.262698,0.003006,-0.018567,7.763639,-0.027973,1.916795,1.965024
2.166667,0.273514,-0.004224,-0.037806,0.175049,0.001201,-0.009038,7.854963,-0.026592,1.940817,1.986665,0.383737,-0.008780,-0.055304,0.265855,0.003014,-0.018247,7.854963,-0.026592,1.940817,1.986665
2.200000,0.279381,-0.004407,-0.038103,0.177145,0.001192,-0.008791,7.946903,-0.025241,1.964966,2.008485,0.392644,-0.009176,-0.055907,0.269033,0.003021,-0.017929,7.946903,-0.025241,1.964966,2.008485
2.233333,0.285319,-0.004595,-0.038392,0.179262,0.001183,-0.008547,8.039449,-0.023920,1.989242,2.030483,0.401657,-0.009582,-0.056500,0.272231,0.003027,-0.017613,8.039449,-0.023920,1.989242,2.030483
2.266667,0.291327,-0.004787,-0.038673,0.181401,0.001173,-0.008308,8.132591,-0.022626,2.013642,2.052653,0.410776,-0.009999,-0.057081,0.275451,0.003031,-0.017298,8.132591,-0.022626,2.013642,2.052653
2.300000,0.297406,-0.004984,-0.038946,0.183561,0.001162,-0.008071,8.226319,-0.021360,2.038165,2.074994,0.420002,-0.010428,-0.057653,0.278691,0.003035,-0.016984,8.226319,-0.021360,2.038165,2.074994
