t,x,y,z,roll,pitch,yaw,vx,vy,vz,wx,wy,wz,roll_unwrapped,pitch_unwrapped,yaw_unwrapped,x_dot_world,y_dot_world,vx_odom_raw,vy_odom_raw,vz_odom_raw,wx_odom_raw,wy_odom_raw,wz_odom_raw,u_left,u_right
261.536,8.432897223756036,-7.588515141206821,-0.04942708058475877,0.004152187150017664,-0.0017382725324029827,-1.4155186170111176,0.8127273811914388,0.49383490822336074,-0.0034634696350353913,-0.0016066331385142887,-0.0038403155397740696,-0.9241461041811417,0.004152187150017664,-0.0017382725324029827,-1.4155186170111176,0.6135853181758117,-0.7265753712020229,0.8127273811914388,0.49383490822336074,-0.0034634696350353913,-0.0016066331385142887,-0.0038403155397740696,-0.9241461041811417,0.55,0.25
261.56800000000004,8.45449320282706,-7.6150951163790355,-0.04942711275656775,0.00415228827198101,-0.0017408674348158748,-1.4487568783939335,0.8132557678699145,0.49361243896157114,-0.0034649780720894,-0.0016030915638362675,-0.0038991336849400113,-0.9233190392349121,0.00415228827198101,-0.0017408674348158748,-1.4487568783939335,0.5889442642253347,-0.7471163480391486,0.8132557678699145,0.49361243896157114,-0.0034649780720894,-0.0016030915638362675,-0.0038991336849400113,-0.9233190392349121,0.55,0.25
261.6,8.475188894191476,-7.642396881984499,-0.049427100873289984,0.004152247571731848,-0.0017397049151180951,-1.4819714158071218,0.8137680844923908,0.4934069592119809,-0.0034652704104597143,-0.001607249754049993,-0.003811060972322846,-0.9226522065401628,0.004152247571731848,-0.0017397049151180951,-1.4819714158071218,0.5636496463502351,-0.7667907138890527,0.8137680844923908,0.4934069592119809,-0.0034652704104597143,-0.001607249754049993,-0.003811060972322846,-0.9226522065401628,0.55,0.25
261.636,8.49496138521655,-7.670388866250047,-0.049427078074214606,0.004152184146201969,-0.0017374848643543078,-1.5151640022016868,0.8142638749063693,0.4932182110041519,-0.0034626130097927684,-0.0016044382069833024,-0.003761062648002359,-0.9220387706159225,0.004152184146201969,-0.0017374848643543078,-1.5151640022016868,0.5377311928253983,-0.7855794204956276,0.8142638749063693,0.4932182110041519,-0.0034626130097927684,-0.0016044382069833024,-0.003761062648002359,-0.9220387706159225,0.55,0.25
261.668,8.513788820781944,-7.699038791787801,-0.04942708743130011,0.00415192259961299,-0.00173787286716687,-1.548339777383978,0.8147412083259035,0.49304714563895613,-0.0034632711937645473,-0.0016085165239307698,-0.0038372379763431845,-0.9215655590560713,0.00415192259961299,-0.00173787286716687,-1.548339777383978,0.5112175683099842,-0.803464574339343,0.8147412083259035,0.49304714563895613,-0.0034632711937645473,-0.0016085165239307698,-0.0038372379763431845,-0.9215655590560713,0.55,0.25
261.7,8.531650358799462,-7.728313670719438,-0.04942711378261309,0.004151788925294541,-0.0017397112807948428,-1.5814969466193751,0.8151972789868742,0.49289075796335,-0.003464315800325112,-0.001605096343739477,-0.003869533436811039,-0.9210511872606825,0.004151788925294541,-0.0017397112807948428,-1.5814969466193751,0.484139589737704,-0.820424744020984,0.8151972789868742,0.49289075796335,-0.003464315800325112,-0.001605096343739477,-0.003869533436811039,-0.9210511872606825,0.55,0.25
261.736,8.548526285599092,-7.758179869825254,-0.04942711449602775,0.004151515529227262,-0.0017398172400550295,-1.6146418285391102,0.8156308738963519,0.49274903001327575,-0.0034653800084145994,-0.0016096425567445286,-0.003834658948105506,-0.9206978102010164,0.004151515529227262,-0.0017398172400550295,-1.6146418285391102,0.45652518083906507,-0.8364449104942954,0.8156308738963519,0.49274903001327575,-0.0034653800084145994,-0.0016096425567445286,-0.003834658948105506,-0.9206978102010164,0.55,0.25
261.76800000000003,8.564397957884154,-7.788603190292128,-0.04942708236146139,0.004151235216948982,-0.0017366778071638807,-1.6477764481095094,0.8160398407983938,0.49262233685278123,-0.0034623883967477157,-0.0016075995873507758,-0.0037324140611186933,-0.9204120930971017,0.004151235216948982,-0.0017366778071638807,-1.6477764481095094,0.42840661165566557,-0.8515078177129525,0.8160398407983938,0.49262233685278123,-0.0034623883967477157,-0.0016075995873507758,-0.0037324140611186933,-0.9204120930971017,0.55,0.25
261.8,8.579247848420886,-7.819548986513584,-0.049427093055758244,0.004150758251325412,-0.001737363180501475,-1.6809063711404804,0.8164260980994014,0.49251084882251994,-0.0034628563217822214,-0.0016114219303000898,-0.003835704459266242,-0.9202713051015886,0.004150758251325412,-0.001737363180501475,-1.6809063711404804,0.39981303942627056,-0.8656027052698136,0.8164260980994014,0.49251084882251994,-0.0034628563217822214,-0.0016114219303000898,-0.003835704459266242,-0.9202713051015886,0.55,0.25
261.836,8.593059510641371,-7.8509819794017135,-0.04942711354794699,0.0041503956011441166,-0.0017384793382119131,-1.7140303253493643,0.8167855858741788,0.4924125918530743,-0.0034636479984748282,-0.0016092195678486139,-0.0038472934724334633,-0.9201108193096225,0.0041503956011441166,-0.0017384793382119131,-1.7140303253493643,0.3707782155269205,-0.8787106285905277,0.8167855858741788,0.4924125918530743,-0.0034636479984748282,-0.0016092195678486139,-0.0038472934724334633,-0.9201108193096225,0.55,0.25
