t,x,y,z,roll,pitch,yaw,vx,vy,vz,wx,wy,wz,u_left,u_right
290.36800000000005,-521.8946675166965,151.9463211895925,-0.04935395990123055,0.00041542172359311974,0.0032765264418391283,0.36207076366670304,0.8295285378873821,-0.03695033652109608,0.0028323584704276197,-0.0004172138627571865,-0.0005942944805666967,0.14092176069915863,0.1,0.7
290.4,-521.8662536197461,151.9556430426273,-0.049341369689642665,0.00041716443112589543,0.003234127142668292,0.36726320995369666,0.8296972535265882,-0.03965186527375204,0.003054984574374851,-0.0004209420027208253,-0.001092582730205967,0.14406025626455718,0.1,0.7
290.43600000000004,-521.8378498403043,151.9650227096399,-0.049321666273848465,0.00041862564623072166,0.0031795263499112963,0.3725673575271268,0.8297991398669307,-0.04240898125079567,0.0032167333470422286,-0.0004313013802992708,-0.0014395850101265163,0.14716569559543474,0.1,0.7
290.46799999999996,-521.8378498403043,151.9650227096399,-0.049321666273848465,0.00041862564623072166,0.0031795263499112963,0.3725673575271268,0.8297991398669307,-0.04240898125079567,0.0032167333470422286,-0.0004313013802992708,-0.0014395850101265163,0.14716569559543474,0.1,0.7
290.5,-521.8094589431636,151.97446077236805,-0.04929755484086628,0.0004196228458031916,0.0031199833046724377,0.37798217320867805,0.8298248691565524,-0.0452178129651119,0.003297021836926784,-0.0004452597655201859,-0.0015864817233268657,0.15024112549187735,0.1,0.7
290.53600000000006,-521.7810836883483,151.98395775704884,-0.049272194299202786,0.0004201976820978888,0.00306315670628751,0.3835062518737007,0.8297738047888487,-0.048077219764453547,0.0032892277289772744,-0.00045771086140079955,-0.0015222335723256801,0.15327843662136548,0.1,0.7
290.568,-521.7527266948819,151.99351440918204,-0.04924877116011653,0.000420582616073961,0.0030161045379297085,0.38913859163668313,0.829650637116832,-0.05098136662366579,0.003197470132111234,-0.00046445901328648456,-0.0012591447589132309,0.156287359511336,0.1,0.7
290.6,-521.7243902925202,152.0031315609507,-0.04923024319691943,0.0004210976771154455,0.0029848285893381084,0.39487802407373807,0.8294640151600479,-0.053929055076512876,0.0030338378912335606,-0.00046396573910751255,-0.0008284546224223927,0.15926322019352349,0.1,0.7
290.63599999999997,-521.6960762159588,152.0128103184627,-0.04921874289411175,0.0004220035711486559,0.0029726505094717823,0.4007235101947645,0.8292310536942307,-0.05691749214536286,0.0028239651913259333,-0.0004585896617272823,-0.00030058163046154193,0.1622111539562618,0.1,0.7
290.668,-521.6677857344351,152.02255200887612,-0.04921558004486947,0.0004233925210990079,0.0029807261148221717,0.40667417328292377,0.8289661787313811,-0.059945218682793414,0.00259270415189516,-0.00045341056299521757,0.0002633157943715559,0.16513329238446456,0.1,0.7
290.70000000000005,-521.6395194580023,152.03235810808854,-0.04922091484893973,0.0004251587673174697,0.003007280935648594,0.4127287537312385,0.8286878749252182,-0.06301374401386685,0.002371667557462393,-0.0004540475644496826,0.0007812647364862663,0.16802192380540942,0.1,0.7
290.736,-521.6112775873864,152.04223038758408,-0.04923383712806595,0.0004270463914570813,0.003048292422018392,0.4188863431762648,0.8284093698314348,-0.06611984942940888,0.0021877273098846474,-0.00046450495933625797,0.0011923454133099826,0.1708845571890256,0.1,0.7
