t,tau_u_applied,tau_r_applied,T1_applied,T2_applied
27.900000000,88.495322805,1.757750204,47.627950257,40.867372548
27.933333333,88.638498468,1.739673166,47.664774554,40.973723914
27.966666667,88.781664682,1.721708241,47.701809728,41.079854955
28.000000000,88.924806819,1.703855435,47.739048477,41.185758342
28.033333333,89.067910336,1.686114732,47.776483499,41.291426837
28.066666667,89.210960778,1.668486091,47.814107487,41.396853291
28.100000000,89.353943779,1.650969448,47.851913136,41.502030643
28.133333333,89.496845059,1.633564719,47.889893143,41.606951916
28.166666667,89.639650425,1.616271796,47.928040206,41.711610220
28.200000000,89.782345773,1.599090553,47.966347026,41.815998747
28.233333333,89.924917085,1.582020840,48.004806312,41.920110773
28.266666667,90.067350430,1.565062492,48.043410777,42.023939653
28.300000000,90.209631963,1.548215322,48.082153140,42.127478823
28.333333333,90.351747929,1.531479127,48.121026132,42.230721797
28.366666667,90.493684656,1.514853684,48.160022489,42.333662167
28.400000000,90.635428561,1.498338754,48.199134962,42.436293600
28.433333333,90.776966146,1.481934083,48.238356309,42.538609837
28.466666667,90.918283998,1.465639398,48.277679303,42.640604696
28.500000000,91.059368793,1.449454413,48.317096729,42.742272064
28.533333333,91.200207288,1.433378827,48.356601388,42.843605901
28.566666667,91.340786329,1.417412323,48.396186093,42.944600236
28.600000000,91.481092845,1.401554572,48.435843676,43.045249170
28.633333333,91.621113850,1.385805230,48.475566983,43.145546868
28.666666667,91.760836443,1.370163942,48.515348879,43.245487564
28.700000000,91.900247804,1.354630339,48.555182246,43.345065558
28.733333333,92.039335201,1.339204041,48.595059986,43.444275214
28.766666667,92.178085981,1.323884656,48.634975020,43.543110960
28.800000000,92.316487576,1.308671781,48.674920290,43.641567287
28.833333333,92.454527501,1.293565003,48.714888756,43.739638745
28.866666667,92.592193351,1.278563898,48.754873402,43.837319949
28.900000000,92.729472804,1.263668033,48.794867235,43.934605569
28.933333333,92.866353619,1.248876965,48.834863281,44.031490338
28.966666667,93.002823634,1.234190243,48.874854591,44.127969043
29.000000000,93.138870771,1.219607405,48.914834241,44.224036530
29.033333333,93.274483028,1.205127984,48.954795329,44.319687699
29.066666667,93.409648484,1.190751502,48.994730977,44.414917507
29.100000000,93.544355298,1.176477477,49.034634336,44.509720963
29.133333333,93.678591706,1.162305416,49.074498576,44.604093129
29.166666667,93.812346021,1.148234822,49.114316899,44.698029121
29.200000000,93.945606635,1.134265191,49.154082530,44.791524105
29.233333333,94.078362018,1.120396010,49.193788721,44.884573297
29.266666667,94.210600714,1.106626765,49.233428750,44.977171963
29.300000000,94.342311343,1.092956932,49.272995925,45.069315419
29.333333333,94.473482604,1.079385983,49.312483577,45.160999026
29.366666667,94.604103266,1.065913387,49.351885070,45.252218196
29.400000000,94.734161413,1.052540524,49.391197100,45.342964314
29.433333333,94.863647469,1.039258450,49.430397677,45.433249792
29.466666667,94.992551048,1.026062926,49.469473459,45.523077589
29.500000000,95.120859992,1.012958718,49.508427531,45.612432461
29.533333333,95.248564715,0.999942221,49.547248168,45.701316547
29.566666667,95.375654981,0.987012821,49.585929070,45.789725911
29.600000000,95.502120662,0.974169881,49.624463947,45.877656714
29.633333333,95.627951742,0.961412742,49.662846529,45.965105213
29.666666667,95.753138315,0.948740732,49.701070564,46.052067751
29.700000000,95.877670585,0.936153158,49.739129827,46.138540758
29.733333333,96.001538864,0.923649318,49.777018120,46.224520744
29.766666667,96.124733573,0.911228495,49.814729278,46.310004295
29.800000000,96.247245240,0.898889965,49.852257168,46.394988072
29.833333333,96.369064498,0.886632992,49.889595695,46.479468803
29.866666667,96.490182090,0.874456834,49.926738802,46.563443288
29.900000000,96.610588860,0.862360740,49.963680470,46.646908391
29.933333333,96.730275761,0.850343958,50.000414723,46.729861038
29.966666667,96.849233846,0.838405726,50.036935627,46.812298220
30.000000000,96.967454275,0.826545280,50.073237292,46.894216983
30.033333333,97.084928309,0.814761854,50.109313873,46.975614436
30.066666667,97.201647311,0.803054676,50.145159570,47.056487741
30.100000000,97.317602747,0.791422973,50.180768630,47.136834117
30.133333333,97.432786182,0.779865972,50.216135345,47.216650837
30.166666667,97.547189282,0.768382896,50.251254056,47.295935226
30.200000000,97.660803815,0.756972967,50.286119152,47.374684663
30.233333333,97.773621644,0.745635408,50.320725069,47.452896576
30.266666667,97.885634734,0.734369441,50.355066292,47.530568442
30.300000000,97.996835145,0.723174287,50.389137355,47.607697790
30.333333333,98.107215036,0.712049168,50.422932840,47.684282196
30.366666667,98.216766663,0.700993305,50.456447380,47.760319283
30.400000000,98.325482375,0.690005923,50.489675654,47.835806721
30.433333333,98.433354620,0.679086244,50.522612394,47.910742226
30.466666667,98.540375939,0.668233492,50.555252377,47.985123561
30.500000000,98.646538967,0.657446894,50.587590434,48.058948533
30.533333333,98.751836434,0.646725677,50.619621442,48.132214993
30.566666667,98.856261162,0.636069068,50.651340327,48.204920836
30.600000000,98.959806066,0.625476297,50.682742067,48.277064000
30.633333333,99.062464153,0.614946597,50.713821686,48.348642467
30.666666667,99.164228520,0.604479200,50.744574260,48.419654260
30.700000000,99.265092357,0.594073341,50.774994912,48.490097445
30.733333333,99.365048943,0.583728258,50.805078814,48.559970129
