t,tau_u_applied,tau_r_applied,T1_applied,T2_applied
66.633333333,14.548822859,-0.461204330,6.387480025,8.161342834
66.666666667,14.534681589,-0.462329466,6.378245667,8.156435922
66.700000000,14.520650783,-0.463437340,6.369099737,8.151551046
66.733333333,14.506731826,-0.464527693,6.360043427,8.146688399
66.766666667,14.492926088,-0.465600266,6.351077917,8.141848170
66.800000000,14.479234920,-0.466654802,6.342204379,8.137030541
66.833333333,14.465659659,-0.467691046,6.333423971,8.132235688
66.866666667,14.452201621,-0.468708745,6.324737840,8.127463782
66.900000000,14.438862107,-0.469707645,6.316147121,8.122714987
66.933333333,14.425642398,-0.470687497,6.307652936,8.117989463
66.966666667,14.412543757,-0.471648052,6.299256394,8.113287363
67.000000000,14.399567429,-0.472589064,6.290958592,8.108608837
67.033333333,14.386714637,-0.473510288,6.282760611,8.103954027
67.066666667,14.373986590,-0.474411483,6.274663520,8.099323070
67.100000000,14.361384471,-0.475292409,6.266668372,8.094716099
67.133333333,14.348909448,-0.476152829,6.258776207,8.090133241
67.166666667,14.336562666,-0.476992508,6.250988048,8.085574617
67.200000000,14.324345249,-0.477811215,6.243304904,8.081040345
67.233333333,14.312258303,-0.478608721,6.235727766,8.076530537
67.266666667,14.300302910,-0.479384799,6.228257611,8.072045299
67.300000000,14.288480130,-0.480139227,6.220895397,8.067584733
67.333333333,14.276791004,-0.480871786,6.213642068,8.063148937
67.366666667,14.265236549,-0.481582258,6.206498547,8.058738002
67.400000000,14.253817760,-0.482270431,6.199465743,8.054352017
67.433333333,14.242535609,-0.482936095,6.192544545,8.049991065
67.466666667,14.231391045,-0.483579044,6.185735822,8.045655223
67.500000000,14.220384994,-0.484199077,6.179040426,8.041344568
67.533333333,14.209518359,-0.484795994,6.172459191,8.037059167
67.566666667,14.198792017,-0.485369601,6.165992930,8.032799087
67.600000000,14.188206823,-0.485919708,6.159642435,8.028564389
67.633333333,14.177763608,-0.486446129,6.153408479,8.024355128
67.666666667,14.167463176,-0.486948681,6.147291816,8.020171359
67.700000000,14.157306307,-0.487427188,6.141293177,8.016013130
67.733333333,14.147293758,-0.487881475,6.135413272,8.011880485
67.766666667,14.137426256,-0.488311375,6.129652791,8.007773466
67.800000000,14.127704507,-0.488716724,6.124012400,8.003692107
67.833333333,14.118129188,-0.489097362,6.118492745,7.999636444
67.866666667,14.108700951,-0.489453134,6.113094448,7.995606503
67.900000000,14.099420421,-0.489783892,6.107818110,7.991602311
67.933333333,14.090288196,-0.490089492,6.102664306,7.987623890
67.966666667,14.081304848,-0.490369793,6.097633592,7.983671256
68.000000000,14.072470921,-0.490624661,6.092726496,7.979744425
68.033333333,14.063786931,-0.490853969,6.087943525,7.975843406
68.066666667,14.055253368,-0.491057592,6.083285161,7.971968207
68.100000000,14.046870692,-0.491235412,6.078751862,7.968118830
68.133333333,14.038639337,-0.491387316,6.074344060,7.964295277
68.166666667,14.030559707,-0.491513198,6.070062164,7.960497543
68.200000000,14.022632178,-0.491612957,6.065906557,7.956725621
68.233333333,14.014857097,-0.491686495,6.061877596,7.952979501
68.266666667,14.007234783,-0.491733725,6.057975613,7.949259169
68.300000000,13.999765523,-0.491754560,6.054200916,7.945564608
68.333333333,13.992449579,-0.491748923,6.050553783,7.941895796
68.366666667,13.985287179,-0.491716742,6.047034470,7.938252709
68.400000000,13.978278524,-0.491657950,6.043643204,7.934635320
68.433333333,13.971423783,-0.491572487,6.040380186,7.931043597
68.466666667,13.964723097,-0.491460298,6.037245591,7.927477506
68.500000000,13.958176576,-0.491321335,6.034239567,7.923937009
68.533333333,13.951784298,-0.491155556,6.031362234,7.920422064
68.566666667,13.945546312,-0.490962924,6.028613686,7.916932626
68.600000000,13.939462636,-0.490743411,6.025993989,7.913468647
68.633333333,13.933533255,-0.490496992,6.023503182,7.910030073
68.666666667,13.927758126,-0.490223649,6.021141276,7.906616849
